title,url,source,time,date,query,story_position,domain,category
Recovered patients who tested positive for COVID-19 likely not reinfected,https://www.livescience.com/coronavirus-reinfections-were-false-positives.html,Live Science,3 hours ago,2020-04-30 22:00:00,coronavirus test,10,www.livescience.com,
"Wuhan shows the world that the end of lockdown is just the beginning of the 
Covid-19 crisis",https://www.cnn.com/2020/04/29/asia/wuhan-coronavirus-lockdown-analysis-intl-hnk/index.html,CNN.com,1 hour ago,2020-04-30 10:00:00,Covid-19,1,www.cnn.com,
Russia's health system under pressure from Covid-19,https://www.cnn.com/videos/world/2020/04/30/russia-coronavirus-covid-19-pandemic-health-service-hospital-vladimir-putin-chance-pkg-intl-ldn-vpx.cnn,CNN.com,2 hours ago,2020-04-30 10:00:00,Covid-19,2,www.cnn.com,
The problem with the Covid-19 death numbers,https://www.cnn.com/2020/04/30/opinions/the-problem-with-covid-19-death-numbers-sutter/index.html,CNN.com,37 mins ago,2020-04-30 10:00:00,Covid-19,3,www.cnn.com,
"Inovio to expand manufacturing of COVID-19 vaccine candidate with new CEPI 
grant",http://www.marketwatch.com/story/inovio-to-expand-manufacturing-of-covid-19-vaccine-candidate-with-new-cepi-grant-2020-04-30,MarketWatch,2 hours ago,2020-04-30 10:00:00,Covid-19,4,www.marketwatch.com,
"David Letterman criticizes Mike Pence for 'taunting' COVID-19 patients by 
not wearing mask",https://www.usatoday.com/story/entertainment/celebrities/2020/04/30/david-letterman-criticizes-mike-pence-taunting-covid-19-patients/3054228001/,USATODAY.com,9 hours ago,2020-04-30 10:00:00,Covid-19,5,www.usatoday.com,
Is USPS Closing Soon Because of COVID-19?,https://www.snopes.com/fact-check/usps-closing-due-to-covid-19/,Snopes,14 hours ago,2020-04-30 10:00:00,Covid-19,6,www.snopes.com,Fact check article
Elon Musk says shelter-in-place orders during COVID-19 are ‘fascist’,https://www.theverge.com/2020/4/29/21242102/elon-musk-coronavirus-fascist-shelter-in-place-tesla-covid-19-safety-science,The Verge,14 hours ago,2020-04-30 10:00:00,Covid-19,7,www.theverge.com,
FDA reportedly will approve COVID-19 treatment remdesivir,https://www.wmur.com/article/fda-reportedly-will-approve-covid-19-treatment-remdesivir/32321444,WMUR.com,14 hours ago,2020-04-30 10:00:00,Covid-19,8,www.wmur.com,
Is COVID-19 claiming more lives in Vermont than originally thought?,https://www.wcax.com/content/news/Is-COVID-19-claiming-more-lives-in-Vermont-than-originally-thought-570056481.html,WCAX,15 hours ago,2020-04-30 10:00:00,Covid-19,9,www.wcax.com,
"First bit of success from a randomized trial of a COVID-19 treatment 
[UPDATED]",https://arstechnica.com/science/2020/04/first-treatment-for-sars-cov-2-shortens-recovery-time/,Ars Technica,16 hours ago,2020-04-30 10:00:00,Covid-19,10,arstechnica.com,
The CDC adds 6 new coronavirus symptoms to its list,https://www.cnet.com/news/every-coronavirus-symptom-you-can-have-according-to-the-cdc/,CNet,1 day ago,2020-04-30 10:00:00,coronavirus symptoms,1,www.cnet.com,
"COVID-19 caused strokes in young people who had mild coronavirus symptoms, 
NYC doctors say",https://www.usatoday.com/story/news/health/2020/04/29/coronavirus-covid-19-caused-strokes-young-patients-nyc-doctors/3046447001/,USATODAY.com,23 hours ago,2020-04-30 10:00:00,coronavirus symptoms,2,www.usatoday.com,
Why Days 5 to 10 Are So Important When You Have Coronavirus,https://www.nytimes.com/2020/04/30/well/live/coronavirus-days-5-through-10.html,The New York Times,1 hour ago,2020-04-30 10:00:00,coronavirus symptoms,3,www.nytimes.com,
Coronavirus pandemic: Updates from around the world,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-30-20-intl/index.html,CNN.com,15 mins ago,2020-04-30 10:00:00,coronavirus,1,www.cnn.com,
"Coronavirus live updates: California to close beaches after crowds; 
quarterly earnings results reveal pressure",https://www.cnbc.com/2020/04/30/coronavirus-latest-updates.html,CNBC.com,2 hours ago,2020-04-30 10:00:00,coronavirus,2,www.cnbc.com,
"Coronavirus Closes Mumbai's Historic Ramadan Food Bazaar On Mohammed Ali 
Road : Coronavirus Live Updates",https://www.npr.org/sections/coronavirus-live-updates/2020/04/30/848194997/mumbais-historic-ramadan-food-bazaar-closes-for-the-first-time-due-to-coronaviru,NPR,6 mins ago,2020-04-30 10:00:00,coronavirus,3,www.npr.org,
"WHO 'urgently' investigating link between coronavirus and syndrome that 
affects young kids",https://www.nbcnews.com/health/health-news/who-urgently-investigating-link-between-coronavirus-syndrome-affects-young-kids-n1196411,NBC News,12 mins ago,2020-04-30 10:00:00,coronavirus,4,www.nbcnews.com,
"Elizabeth Warren’s plan to end mask and supply shortages in the coronavirus 
pandemic",https://www.vox.com/2020/4/30/21241842/coronavirus-covid-supply-shortages-ppe-elizabeth-warren,Vox,16 mins ago,2020-04-30 10:00:00,coronavirus,5,www.vox.com,
Are 'covid toes' a real symptom of the coronavirus?,https://www.livescience.com/frostbite-toes-covid-19.html,Live Science,3 hours ago,2020-04-30 10:00:00,coronavirus,6,www.livescience.com,
"Coronavirus live updates: Newsom to announce closure of all state beaches, 
parks, report says",https://www.sfchronicle.com/bayarea/article/Coronavirus-live-updates-news-bay-area-15192855.php,San Francisco Chronicle,3 hours ago,2020-04-30 10:00:00,coronavirus,7,www.sfchronicle.com,
Coronavirus: New York funeral home puts corpses in lorries,https://www.bbc.com/news/world-us-canada-52483279,BBC,7 hours ago,2020-04-30 10:00:00,coronavirus,8,www.bbc.com,
